基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
广发沪港深龙头混合,005644,15.03亿元（2020-09-30）,16.69%,18.33%,13.97%,34.21%,--,30.80%,余昊,2年又296天,30.80%,4年又218天
西部利得港股通新机遇混合C,010093,0.00亿元（2020-09-30）,13.75%,21.83%,--,--,--,17.38%,陶星言,130天,17.38%,178天
西部利得港股通新机遇混合A,008861,0.54亿元（2020-09-30）,13.76%,21.87%,--,--,--,19.44%,陶星言,178天,19.44%,178天
华宝港股通香港精选混合,005883,0.39亿元（2020-09-30）,16.03%,19.46%,15.95%,16.18%,--,28.60%,周欣,143天,15.21%,11年又13天
易方达港股通红利混合,005583,9.10亿元（2020-09-30）,16.45%,22.47%,20.08%,45.81%,--,31.48%,杨添琦,78天,25.02%,86天
广发港股通优质增长混合,006595,1.68亿元（2020-09-30）,14.65%,18.83%,13.79%,45.04%,--,70.04%,余昊,153天,14.38%,4年又218天
天弘港股通精选C,006753,0.49亿元（2020-09-30）,12.54%,16.39%,20.72%,37.39%,--,51.61%,刘国江,1年又257天,51.61%,1年又257天
中海沪港深价值优选混合,002214,0.41亿元（2020-09-30）,12.37%,17.65%,11.63%,28.24%,23.04%,100.67%,陈玮/姚晨曦,1年又176天,37.97%,1年又176天/5年又270天
国投瑞银精选收益混合,001218,18.28亿元（2020-09-30）,4.59%,3.15%,11.24%,72.10%,72.80%,27.70%,孙文龙,1年又14天,73.74%,5年又354天
中融沪港深大消费主题A,005142,0.38亿元（2020-09-30）,7.14%,9.76%,-0.31%,25.74%,9.23%,9.46%,陈荔/冯琪,131天,1.56%,137天/1年又43天
海富通沪港深灵活配置混合,519139,2.08亿元（2020-09-30）,8.90%,13.99%,19.89%,39.71%,43.36%,90.75%,周雪军/高峥/王智慧,2年又28天,78.67%,8年又85天/3年又136天/8年又201天
国投瑞银港股通混合A,007110,21.67亿元（2020-09-30）,5.55%,6.43%,3.49%,--,--,18.48%,刘扬/汤海波,304天,18.48%,304天/8年又308天
广发价值领先混合,008099,4.74亿元（2020-09-30）,8.25%,22.41%,18.96%,--,--,26.82%,林英睿,248天,26.82%,5年又46天
兴全沪港深两年持有混合,009007,29.09亿元（2020-09-30）,9.01%,13.29%,10.24%,--,--,14.25%,林翠萍,233天,14.25%,3年又253天
中欧互联网先锋混合A,010213,85.62亿元（2020-10-12）,17.21%,--,--,--,--,19.51%,王颖/周应波,6天,4.52%,6天/5年又70天
泰康沪港深价值优选混合,003580,1.30亿元（2020-09-30）,16.42%,21.98%,22.50%,52.80%,55.86%,94.81%,黄成扬/刘伟,3年又37天,62.69%,5年又45天/3年又252天
中融沪港深大消费主题C,005143,0.24亿元（2020-09-30）,7.09%,10.18%,-0.04%,25.94%,8.83%,9.03%,陈荔/冯琪,131天,1.92%,137天/1年又43天
华泰柏瑞新经济沪港深混合,003413,0.28亿元（2020-09-30）,4.90%,12.61%,8.33%,40.28%,72.69%,123.63%,何琦,363天,34.58%,3年又185天
博时研究精选持有期混合A,009591,36.11亿元（2020-09-30）,12.08%,20.29%,17.09%,--,--,17.21%,蒋娜/王俊,200天,17.21%,4年又104天/5年又355天
国投瑞银港股通混合C,011081,--亿元（--）,--,--,--,--,--,3.50%,刘扬/汤海波,12天,3.50%,304天/8年又308天
长城港股通混合,007132,0.47亿元（2020-09-30）,13.84%,21.11%,11.36%,42.18%,--,50.82%,鲁衡军/曲少杰,185天,9.35%,185天/1年又199天
上投摩根香港精选港股通,005701,0.41亿元（2020-09-30）,14.85%,20.91%,18.42%,38.52%,--,47.84%,张淑婉,2年又217天,47.84%,4年又26天
泰康沪港深精选混合,002653,9.93亿元（2020-09-30）,15.70%,21.39%,22.44%,47.29%,47.59%,103.77%,黄成扬/刘伟,3年又50天,48.71%,5年又45天/3年又252天
华宝动力组合,240004,8.86亿元（2020-09-30）,8.49%,15.29%,12.72%,47.43%,63.23%,990.93%,刘自强,12年又300天,158.18%,12年又300天
富国沪港深行业精选混合C,011114,--亿元（--）,--,--,--,--,--,6.29%,汪孟海,11天,6.29%,5年又95天
前海开源沪港深聚瑞混合,007151,0.82亿元（2020-09-30）,16.51%,21.01%,22.86%,51.21%,--,71.78%,刘小明,115天,19.06%,1年又37天
国投瑞银稳健增长混合,121006,11.99亿元（2020-09-30）,3.75%,2.43%,11.49%,62.58%,99.15%,529.23%,孙文龙,5年又248天,129.81%,5年又354天
富国沪港深行业精选混合A,005354,29.09亿元（2020-09-30）,13.68%,18.05%,22.30%,55.00%,69.58%,79.30%,汪孟海,3年又31天,79.30%,5年又95天
汇丰晋信港股通双核策略混合,007291,1.89亿元（2020-09-30）,18.64%,34.40%,32.48%,43.35%,--,71.45%,程彧,1年又162天,71.45%,4年又62天
中海沪港深多策略灵活配置混合,005646,0.31亿元（2020-09-30）,11.48%,17.26%,7.79%,30.20%,--,28.42%,陈玮/姚炜,1年又176天,41.09%,1年又176天/2年又31天
华安智能生活混合,006879,52.40亿元（2020-09-30）,1.56%,10.09%,2.83%,17.52%,--,102.55%,胡宜斌,1年又248天,102.55%,5年又47天
天弘港股通精选A,006752,2.95亿元（2020-09-30）,12.56%,16.49%,20.91%,37.81%,--,52.39%,刘国江,1年又257天,52.39%,1年又257天
浙商沪港深精选混合A,007368,14.15亿元（2020-09-30）,13.37%,27.70%,33.36%,50.80%,--,76.03%,贾腾,26天,12.04%,1年又324天
前海开源沪港深蓝筹精选混合,001837,40.15亿元（2020-09-30）,20.46%,24.68%,24.36%,64.01%,43.17%,124.07%,曲扬,5年又35天,124.07%,7年又58天
招商沪港深科技创新混合,004266,0.13亿元（2020-09-30）,10.22%,22.40%,30.80%,64.30%,69.27%,85.74%,王超/白海峰,109天,20.80%,7年又287天/4年又243天
国投瑞银创新动力混合,121005,32.51亿元（2020-09-30）,4.36%,2.81%,8.63%,67.03%,102.22%,657.98%,孙文龙,2年又293天,108.88%,5年又354天
圆信永丰双利优选,005108,2.00亿元（2020-09-30）,-4.69%,-6.64%,-7.48%,21.19%,19.65%,21.17%,肖世源/范妍,1年又344天,30.04%,3年又204天/5年又76天
博时研究精选持有期混合C,009592,2.07亿元（2020-09-30）,12.01%,20.03%,16.62%,--,--,16.71%,蒋娜/王俊,200天,16.71%,4年又104天/5年又355天
弘毅远方经济新动力混合,008518,2.11亿元（2020-09-30）,5.25%,7.23%,-1.32%,19.78%,--,21.15%,焦庆,1年又12天,21.15%,3年又51天
圆信永丰兴源灵活配置混合A,001965,1.13亿元（2020-09-30）,-4.59%,-5.85%,-7.07%,33.50%,51.76%,64.20%,肖世源,332天,29.80%,3年又204天
华泰柏瑞港股通量化混合,005269,0.74亿元（2020-09-30）,8.73%,12.58%,0.67%,5.31%,-2.77%,-2.62%,盛豪,181天,1.18%,5年又91天
安信成长动力一年持有混合,009880,7.63亿元（2020-08-13）,16.86%,31.69%,--,--,--,32.91%,聂世林,150天,32.91%,4年又328天
浦银安盛港股通量化混合,005255,0.51亿元（2020-09-30）,11.43%,17.19%,16.12%,31.32%,--,32.02%,IKEDA KAE/罗雯,2年又352天,32.02%,2年又352天/2年又352天
浙商沪港深精选混合C,007369,1.82亿元（2020-09-30）,13.32%,27.50%,33.01%,50.04%,--,74.44%,贾腾,26天,12.01%,1年又324天
圆信永丰兴源灵活配置混合C,001966,0.14亿元（2020-09-30）,-4.61%,-5.87%,-6.99%,33.55%,51.48%,63.60%,肖世源,332天,29.84%,3年又204天
国富价值成长一年持有期混合C,010272,3.37亿元（2020-11-04）,13.92%,--,--,--,--,14.32%,徐荔蓉,67天,14.32%,14年又54天
国富价值成长一年持有期混合A,010271,5.58亿元（2020-11-04）,13.96%,--,--,--,--,14.40%,徐荔蓉,67天,14.40%,14年又54天
西部利得新动向混合,673010,2.66亿元（2020-09-30）,2.13%,9.78%,12.26%,28.89%,34.36%,117.72%,刘荟,1年又260天,42.92%,5年又8天
国投瑞银新兴产业混合,161219,18.28亿元（2020-09-30）,3.96%,2.61%,7.74%,56.65%,104.37%,515.70%,孙文龙,5年又304天,231.88%,5年又354天
中信证券臻选价值成长混合C,900079,28.48亿元（2020-09-30）,16.89%,25.24%,22.78%,--,--,52.94%,张燕珍,327天,52.94%,327天
国富港股通远见价值混合,009846,12.22亿元（2020-08-18）,11.72%,14.36%,--,--,--,12.39%,徐成,145天,12.39%,5年又19天
华安沪港深优选混合,006768,0.76亿元（2020-09-30）,19.22%,30.76%,27.11%,39.08%,--,74.95%,陆秋渊/盛骅,1年又292天,74.95%,3年又195天/2年又331天
圆信永丰医药健康,006274,0.45亿元（2020-09-30）,-5.83%,-8.49%,-14.91%,24.19%,--,55.65%,肖世源,1年又43天,29.03%,3年又204天
东方人工智能主题混合,005844,0.36亿元（2020-09-30）,2.73%,3.25%,-2.86%,19.43%,--,41.43%,严凯,86天,1.13%,255天
万家瑞兴,001518,0.69亿元（2020-09-30）,-5.89%,-8.78%,-13.68%,-1.13%,9.21%,150.93%,黄海,54天,-8.25%,109天
华安媒体互联网混合,001071,75.80亿元（2020-09-30）,1.10%,8.74%,1.88%,15.77%,155.70%,148.80%,胡宜斌,4年又112天,120.57%,5年又47天
中银证券瑞益灵活配置混合C,003981,0.06亿元（2020-09-30）,5.91%,27.29%,20.79%,50.69%,81.50%,92.52%,张燕,37天,7.27%,4年又169天
浦银安盛先进制造混合C,007067,6.05亿元（2020-09-30）,6.39%,19.21%,26.41%,--,--,55.43%,杨岳斌,362天,55.43%,8年又181天
弘毅远方消费升级混合,006644,1.14亿元（2020-09-30）,12.52%,15.98%,19.43%,65.11%,--,122.83%,周鹏,121天,15.86%,2年又72天
博时沪港深优质企业基金C,002555,0.25亿元（2020-09-30）,15.03%,28.84%,28.94%,42.97%,84.29%,157.31%,王俊,3年又43天,95.12%,5年又355天
华润元大核心动力混合A,009882,1.49亿元（2020-08-24）,9.41%,4.56%,--,--,--,2.92%,刘宏毅,139天,2.92%,2年又358天
金鹰核心资源混合,210009,4.51亿元（2020-09-30）,-8.97%,-10.60%,-14.01%,13.46%,12.18%,31.03%,陈颖,1年又290天,34.65%,5年又215天
睿远均衡价值三年持有混合A,008969,98.44亿元（2020-09-30）,13.16%,24.17%,32.94%,--,--,70.91%,赵枫,324天,70.91%,6年又42天
光大阳光启明星创新驱动主题混合B,860052,--亿元（--）,9.03%,13.91%,--,--,--,10.48%,孟巍,145天,10.48%,201天
中信建投甄选混合C,008348,0.53亿元（2020-09-30）,4.54%,12.56%,16.41%,63.47%,--,64.03%,栾江伟,1年又19天,64.03%,4年又320天
华润元大价值优选C,004931,0.43亿元（2020-09-30）,7.65%,6.57%,--,--,--,2.29%,刘宏毅,170天,2.29%,2年又358天
英大睿盛A,003713,0.32亿元（2020-09-30）,-1.43%,8.01%,32.97%,64.22%,100.90%,126.58%,张媛,102天,8.01%,2年又353天
万家宏观择时多策略混合,519212,0.99亿元（2020-09-30）,-6.96%,-8.50%,-9.77%,4.92%,12.12%,38.34%,黄海,54天,-9.32%,109天
万家新利灵活配置混合,519191,3.10亿元（2020-09-30）,-5.74%,-6.83%,-9.39%,-0.82%,-1.89%,50.99%,黄海,54天,-7.68%,109天
安信价值成长混合A,008891,3.49亿元（2020-09-30）,17.19%,32.63%,39.38%,--,--,73.95%,陈振宇/聂世林,298天,73.95%,4年又140天/4年又328天
博时沪港深优质企业基金A,001215,3.10亿元（2020-09-30）,15.09%,28.99%,29.37%,43.89%,87.34%,73.10%,王俊,3年又43天,98.28%,5年又355天
睿远均衡价值三年持有混合C,008970,9.34亿元（2020-09-30）,13.13%,24.07%,32.74%,--,--,70.46%,赵枫,324天,70.46%,6年又42天
华润元大价值优选A,004930,0.47亿元（2020-09-30）,7.72%,6.80%,--,--,--,2.66%,刘宏毅,170天,2.66%,2年又358天
浦银安盛先进制造混合A,007066,3.91亿元（2020-09-30）,6.42%,19.33%,26.63%,--,--,55.97%,杨岳斌,362天,55.97%,8年又181天
中银证券瑞益灵活配置混合A,003980,0.37亿元（2020-09-30）,5.90%,27.09%,20.63%,50.75%,83.44%,95.51%,张燕,37天,7.26%,4年又169天
英大睿盛C,003714,1.65亿元（2020-09-30）,-1.45%,7.95%,32.88%,63.96%,107.03%,132.99%,张媛,102天,7.95%,2年又353天
博时研究优选3年封闭混合C,160528,0.74亿元（2020-09-30）,12.35%,21.43%,15.42%,--,--,22.18%,吴鹏/王俊,74天,17.47%,74天/5年又355天
华润元大核心动力混合C,009883,0.71亿元（2020-08-24）,9.36%,4.42%,--,--,--,2.73%,刘宏毅,139天,2.73%,2年又358天
嘉实价值优势混合,070019,14.82亿元（2020-09-30）,10.60%,26.64%,40.50%,66.69%,97.83%,299.37%,谭丽,3年又58天,109.12%,3年又275天
上投摩根阿尔法混合,377010,16.79亿元（2020-09-30）,-0.42%,5.80%,17.80%,46.57%,33.45%,750.79%,李博,5年又109天,84.25%,6年又12天
中银证券祥瑞混合A,004917,0.07亿元（2020-09-30）,2.87%,9.68%,2.71%,22.77%,--,27.93%,阳桦/王玉玺,1年又143天,35.82%,1年又143天/3年又364天
中信建投轮换混合C,003823,2.08亿元（2020-09-30）,4.47%,11.45%,14.89%,53.45%,--,107.45%,栾江伟,1年又359天,107.45%,4年又320天
大摩领先优势混合,233006,4.01亿元（2020-09-30）,1.39%,12.25%,14.07%,48.53%,37.80%,221.50%,何晓春,1年又116天,60.69%,6年又305天
西部利得景程混合C,673143,0.00亿元（2020-09-30）,1.42%,8.45%,1.48%,4.75%,--,20.29%,唐煜/刘荟,300天,3.47%,303天/5年又8天
国联安核心资产策略混合,006864,13.48亿元（2020-11-18）,5.05%,--,--,--,--,4.20%,魏东,53天,4.20%,16年又115天
光大阳光启明星创新驱动主题混合A,860016,--亿元（--）,9.09%,14.13%,--,--,--,10.77%,孟巍,145天,10.77%,201天
国富基本面优选混合,008515,20.41亿元（2020-09-30）,9.26%,21.57%,19.01%,--,--,51.14%,赵晓东,332天,51.14%,11年又132天
英大策略优选A,001607,0.61亿元（2020-09-30）,-1.45%,8.07%,16.79%,50.53%,95.73%,140.08%,张大铮/张媛,102天,8.07%,1年又5天/2年又353天
中信建投轮换混合A,003822,1.24亿元（2020-09-30）,4.50%,11.58%,15.13%,54.07%,--,109.07%,栾江伟,1年又359天,109.07%,4年又320天
富国臻选成长灵活配置混合,005732,3.25亿元（2020-09-30）,7.61%,13.58%,16.35%,67.12%,--,131.80%,易智泉,268天,50.65%,3年又86天
工银沪港深精选混合A,005197,2.08亿元（2020-09-30）,14.69%,17.20%,11.93%,30.25%,21.80%,26.21%,孔令兵,20天,10.53%,34天
光大阳光启明星创新驱动主题混合C,860053,--亿元（--）,8.93%,13.65%,--,--,--,10.91%,孟巍,145天,10.91%,201天
泰达宏利蓝筹混合,001267,0.80亿元（2020-09-30）,19.02%,35.86%,23.33%,72.22%,91.84%,36.40%,赖庆鑫/张勋,222天,52.06%,3年又296天/6年又52天
英大灵活配置混合型发起式B,001271,0.49亿元（2020-09-30）,2.11%,5.72%,-2.18%,31.38%,57.09%,79.44%,张大铮/郑中华/易祺坤,1年又5天,30.02%,1年又5天/1年又303天/3年又315天
工银沪港深精选混合C,005198,0.10亿元（2020-09-30）,14.67%,17.15%,11.82%,29.98%,20.71%,25.03%,孔令兵,20天,10.52%,34天
中欧科创主题3年封闭混合,501081,14.21亿元（2020-09-30）,13.42%,25.49%,21.72%,59.94%,--,80.30%,邵洁/张跃鹏/王培,151天,22.49%,331天/5年又46天/8年又49天
汇添富沪港深优势定开,006205,0.75亿元（2020-09-30）,3.65%,12.32%,9.50%,30.19%,--,62.33%,陈健玮,2年又112天,62.33%,2年又332天
恒生前海港股通精选混合,006537,0.42亿元（2020-09-30）,15.87%,22.33%,21.97%,31.34%,--,33.78%,江俊晨,89天,17.28%,89天
中银证券祥瑞混合C,004918,0.38亿元（2020-09-30）,2.87%,9.51%,1.92%,20.81%,--,25.49%,阳桦/王玉玺,1年又143天,33.57%,1年又143天/3年又364天
平安行业先锋混合,700001,2.40亿元（2020-09-30）,4.45%,17.42%,30.16%,68.50%,87.95%,185.64%,刘杰,1年又247天,100.99%,3年又287天
英大策略优选C,001608,0.17亿元（2020-09-30）,-1.48%,7.95%,16.57%,49.94%,117.57%,130.51%,张大铮/张媛,102天,7.95%,1年又5天/2年又353天
安信价值成长混合C,008892,0.44亿元（2020-09-30）,17.14%,32.49%,39.11%,--,--,73.39%,陈振宇/聂世林,298天,73.39%,4年又140天/4年又328天
博时沪港深成长企业,001824,0.07亿元（2020-09-30）,14.89%,16.59%,18.27%,52.54%,56.72%,89.00%,牟星海,1年又215天,69.66%,1年又215天
中信卓越成长两年持有混合B,900090,82.78亿元（2020-09-30）,7.23%,20.99%,26.70%,--,--,39.81%,张晓亮,223天,39.81%,223天
中信证券臻选价值成长混合A,900003,48.65亿元（2020-09-30）,16.97%,25.51%,23.28%,--,--,53.61%,张燕珍,327天,53.61%,327天
中欧丰泓沪港深混合A,002685,7.68亿元（2020-09-30）,9.20%,16.38%,19.13%,40.53%,65.88%,105.32%,沈悦/罗佳明/曹名长,163天,18.64%,243天/1年又193天/14年又22天
招商科技创新混合C,008656,0.64亿元（2020-09-30）,12.31%,14.41%,3.61%,--,--,29.35%,张林/付斌,333天,29.35%,5年又174天/5年又363天
东财信息产业精选混合C,010308,0.29亿元（2020-10-30）,3.32%,--,--,--,--,4.13%,吴逸,72天,4.13%,1年又39天
西部利得景程混合A,673141,0.95亿元（2020-09-30）,1.42%,8.48%,1.52%,4.85%,--,20.50%,唐煜/刘荟,300天,3.55%,303天/5年又8天
英大睿鑫A,003446,0.12亿元（2020-09-30）,-1.19%,7.75%,16.27%,23.97%,40.57%,83.96%,张媛,102天,7.75%,2年又353天
中信证券臻选回报混合B,900052,--亿元（--）,11.25%,--,--,--,--,14.19%,张燕珍,87天,14.19%,327天
中欧丰泓沪港深混合C,002686,0.71亿元（2020-09-30）,9.17%,16.13%,18.69%,39.44%,62.10%,99.32%,沈悦/罗佳明/曹名长,163天,18.20%,243天/1年又193天/14年又22天
博时行业轮动混合,050018,1.65亿元（2020-09-30）,14.04%,35.29%,32.75%,57.70%,56.98%,104.70%,陈雷,4年又357天,134.21%,6年又136天
银河文体娱乐混合,005585,0.35亿元（2020-09-30）,-3.81%,-3.78%,-18.56%,-1.30%,--,48.32%,卢轶乔,2年又267天,48.32%,8年又22天
淳厚信泽混合C,007812,1.04亿元（2020-09-30）,6.75%,12.67%,14.48%,45.60%,--,59.24%,薛莉丽,17天,7.54%,1年又143天
博时研究优选3年封闭混合A,160527,20.75亿元（2020-09-30）,12.43%,21.70%,15.89%,--,--,22.97%,吴鹏/王俊,74天,17.65%,74天/5年又355天
中信建投甄选混合A,008347,1.71亿元（2020-09-30）,4.56%,12.68%,16.63%,64.14%,--,64.71%,栾江伟,1年又19天,64.71%,4年又320天
英大睿鑫C,003447,0.55亿元（2020-09-30）,-1.21%,7.69%,16.16%,23.74%,39.64%,80.53%,张媛,102天,7.69%,2年又353天
添富港股通专注成长,005228,7.05亿元（2020-09-30）,11.24%,12.77%,13.29%,41.04%,12.99%,10.46%,杨威风,1年又140天,50.92%,2年又10天
中欧互联网先锋混合C,010214,13.49亿元（2020-10-12）,17.16%,--,--,--,--,19.37%,王颖/周应波,6天,4.53%,6天/5年又70天
嘉实瑞成两年持有期混合C,009139,3.64亿元（2020-09-30）,12.23%,26.09%,32.40%,--,--,52.22%,张金涛,241天,52.22%,4年又229天
中信证券臻选回报混合C,900152,--亿元（--）,11.18%,--,--,--,--,14.06%,张燕珍,87天,14.06%,327天
中加核心智造混合C,009243,0.34亿元（2020-09-30）,9.65%,22.25%,--,--,--,23.67%,冯汉杰,172天,23.67%,2年又37天
华宝红利精选混合A,009263,1.78亿元（2020-09-30）,-2.33%,6.18%,8.84%,--,--,17.49%,张奇,221天,17.49%,221天
景顺长城中国回报灵活配置混合,000772,12.89亿元（2020-09-30）,0.10%,10.12%,9.39%,41.70%,44.28%,98.10%,韩文强,1年又93天,57.47%,1年又93天
中欧匠心两年持有期混合C,006530,2.90亿元（2020-09-30）,16.92%,30.46%,34.46%,72.52%,--,87.61%,周蔚文,1年又214天,87.61%,13年又294天
中信建投精选混合A,007468,1.18亿元（2020-09-30）,4.01%,11.89%,15.08%,58.21%,--,61.96%,栾江伟,1年又43天,61.96%,4年又320天
银河创新成长混合,519674,170.69亿元（2020-09-30）,5.07%,16.55%,-9.16%,47.63%,125.44%,516.22%,郑巍山,1年又245天,142.75%,1年又245天
同泰慧择混合C,008051,0.32亿元（2020-09-30）,7.96%,14.52%,17.48%,27.54%,--,28.36%,沈莉,1年又52天,28.36%,1年又52天
嘉实瑞享定期混合,160726,25.65亿元（2020-09-30）,12.30%,24.74%,32.10%,59.32%,--,124.54%,张金涛,2年又161天,124.54%,4年又229天
融通医疗保健行业混合A/B,161616,24.43亿元（2020-09-30）,14.57%,14.92%,22.22%,110.82%,191.11%,312.54%,蒋秀蕾,2年又181天,127.04%,6年又354天
万家精选混合,519185,9.85亿元（2020-09-30）,-2.55%,-0.12%,-7.40%,0.41%,-2.15%,169.36%,黄海,54天,-3.20%,109天
浙商全景消费混合,005335,3.96亿元（2020-09-30）,6.11%,21.50%,27.12%,52.81%,92.90%,92.86%,贾腾,26天,6.56%,1年又324天
永赢港股通品质生活慧选混合,009983,21.71亿元（2020-09-29）,8.02%,7.58%,--,--,--,7.48%,晏青,103天,7.48%,4年又100天
新华万银策略灵活配置混合,000972,0.20亿元（2020-09-30）,-6.32%,2.16%,5.16%,17.79%,33.16%,50.07%,王浩,233天,10.43%,1年又257天
淳厚信泽混合A,007811,1.29亿元（2020-09-30）,6.80%,12.84%,14.77%,46.40%,--,60.60%,薛莉丽,17天,7.56%,1年又143天
广发创新驱动灵活配置混合,004119,1.88亿元（2020-09-30）,7.44%,19.45%,21.15%,58.75%,82.15%,105.10%,杨定光,150天,21.58%,150天
南方沪港深价值,001979,0.51亿元（2020-09-30）,4.08%,3.48%,-4.97%,7.10%,4.90%,7.10%,毕凯,2年又197天,25.12%,3年又140天
中欧嘉泽灵活配置混合,005421,12.33亿元（2020-09-30）,5.74%,18.15%,28.03%,67.66%,--,138.61%,许文星/王健,2年又270天,141.21%,2年又270天/9年又284天
民生加银新兴产业混合A,010116,25.20亿元（2020-09-18）,10.86%,11.31%,--,--,--,11.55%,孙伟,114天,11.55%,6年又189天
招商创新增长混合C,009361,2.56亿元（2020-09-30）,14.06%,16.97%,18.66%,--,--,19.57%,李佳存,207天,19.57%,5年又347天
招商科技创新混合A,008655,5.46亿元（2020-09-30）,12.39%,14.66%,4.03%,--,--,30.30%,张林/付斌,333天,30.30%,5年又174天/5年又363天
融通健康产业灵活配置混合A/B,000727,30.11亿元（2020-09-30）,-5.87%,-7.75%,-5.13%,60.71%,155.14%,167.90%,万民远,4年又131天,137.50%,4年又138天
富国沪港深业绩驱动混合型A,005847,25.14亿元（2020-09-30）,16.38%,22.75%,28.06%,77.61%,--,121.41%,宁君,1年又58天,86.83%,2年又128天
富国沪港深业绩驱动混合型C,011117,--亿元（--）,--,--,--,--,--,9.77%,宁君,12天,9.77%,2年又128天
兴业聚利灵活配置混合,001272,2.11亿元（2020-09-30）,-1.42%,8.19%,11.56%,35.88%,42.06%,121.90%,冯烜,2年又123天,94.82%,5年又111天
博时沪港深价值优选C,004092,0.06亿元（2020-09-30）,14.08%,21.76%,21.43%,28.24%,26.41%,61.87%,杨涛,2年又203天,33.89%,3年又43天
金鹰红利价值混合,210002,0.71亿元（2020-09-30）,-7.81%,-8.26%,-14.07%,11.50%,-0.36%,220.60%,陈颖,257天,8.33%,5年又215天
东财信息产业精选混合A,010307,0.56亿元（2020-10-30）,3.39%,--,--,--,--,4.29%,吴逸,72天,4.29%,1年又39天
华宝行业精选混合,240010,18.13亿元（2020-09-30）,13.22%,14.43%,17.63%,47.18%,24.47%,86.25%,闫旭,4年又126天,27.87%,12年又246天
华宝未来主导混合,002634,0.47亿元（2020-09-30）,-2.76%,8.67%,7.50%,35.13%,47.18%,30.40%,夏林锋,1年又182天,72.72%,6年又82天
中加核心智造混合A,009242,2.50亿元（2020-09-30）,9.62%,22.47%,--,--,--,24.00%,冯汉杰,172天,24.00%,2年又37天
诺安精选价值混合,001900,0.32亿元（2020-09-30）,2.67%,12.44%,2.28%,38.88%,--,58.63%,宋青,1年又317天,58.63%,9年又60天
永赢科技驱动A,008919,27.78亿元（2020-09-30）,2.72%,13.71%,5.90%,--,--,28.51%,李永兴,327天,28.51%,6年又114天
景顺长城核心优选混合,009190,51.88亿元（2020-09-30）,10.73%,22.67%,25.90%,--,--,48.10%,余广,247天,48.10%,10年又229天
兴全社会价值三年持有混合,008378,44.68亿元（2020-09-30）,11.17%,25.30%,40.26%,86.85%,--,88.57%,谢治宇,1年又16天,88.57%,7年又348天
博时文体娱乐主题混合,002424,0.74亿元（2020-09-30）,18.46%,23.24%,20.54%,55.04%,108.59%,125.90%,蒋娜,307天,43.16%,4年又104天
中欧价值发现混合E,001882,0.80亿元（2020-09-30）,-5.38%,2.61%,5.83%,12.95%,17.62%,90.02%,沈悦/蓝小康/曹名长,243天,20.14%,243天/3年又245天/14年又22天
平安灵活配置混合,700004,0.35亿元（2020-09-30）,3.00%,13.45%,20.31%,51.94%,90.02%,143.59%,刘杰,1年又304天,67.03%,3年又287天
招商创新增长混合A,009360,32.31亿元（2020-09-30）,14.14%,17.24%,19.14%,--,--,20.11%,李佳存,207天,20.11%,5年又347天
博时优势企业(LOF)A,160526,14.02亿元（2020-09-30）,12.80%,24.21%,23.02%,34.97%,--,64.83%,李洋/王俊,1年又204天,61.36%,1年又204天/5年又355天
银河成长混合,519668,3.22亿元（2020-09-30）,6.25%,19.07%,23.07%,74.46%,95.53%,860.72%,祝建辉,3年又278天,127.29%,5年又15天
前海开源沪港深优势精选混合,001875,70.61亿元（2020-09-30）,23.97%,33.57%,30.01%,105.84%,222.74%,354.42%,范洁/曲扬,1年又92天,120.46%,3年又128天/7年又58天
工银精选金融地产混合A,005937,2.95亿元（2020-09-30）,5.39%,13.71%,3.34%,16.44%,--,51.73%,鄢耀/王君正,1年又274天,26.52%,7年又139天/7年又139天
民生加银科创3年封闭混合,501200,3.93亿元（2020-12-14）,11.22%,17.88%,31.00%,--,--,35.38%,王晓岩/孙伟,26天,10.11%,1年又65天/6年又189天
民生加银新兴产业混合C,010117,3.21亿元（2020-09-18）,10.81%,11.18%,--,--,--,11.41%,孙伟,114天,11.41%,6年又189天
兴全合宜混合(LOF)C,005491,5.87亿元（2020-09-30）,9.77%,21.56%,33.33%,--,--,67.42%,杨世进/谢治宇,32天,10.94%,32天/7年又348天
中欧新动力混合(LOF)C,004236,1.08亿元（2020-09-30）,7.13%,17.92%,27.99%,64.47%,107.09%,141.50%,许文星/王健,2年又114天,147.90%,2年又270天/9年又284天
中信卓越成长两年持有混合C,900100,6.17亿元（2020-09-30）,7.16%,20.76%,26.26%,--,--,39.21%,张晓亮,223天,39.21%,223天
中信建投精选混合C,007469,1.32亿元（2020-09-30）,3.98%,11.77%,14.86%,57.59%,--,61.24%,栾江伟,1年又43天,61.24%,4年又320天
英大灵活配置混合型发起式A,001270,0.01亿元（2020-09-30）,2.14%,5.87%,-2.07%,31.84%,61.10%,86.03%,张大铮/郑中华/易祺坤,1年又5天,30.48%,1年又5天/1年又303天/3年又315天
兴华永兴混合发起式A,010756,0.12亿元（2020-12-16）,--,--,--,--,--,1.14%,冷文鹏,25天,1.14%,2年又342天
中欧匠心两年持有期混合A,006529,25.99亿元（2020-09-30）,16.96%,30.60%,34.72%,73.20%,--,88.79%,周蔚文,1年又214天,88.79%,13年又294天
