基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
中银双息回报混合,006243,3.97亿元（2020-09-30）,12.45%,21.16%,29.96%,68.27%,--,102.88%,刘腾/李建,2年又106天,102.88%,3年又105天/13年又145天
泰达价值长青混合A,009141,9.46亿元（2020-09-30）,15.15%,28.19%,34.63%,--,--,36.56%,吴华,200天,36.56%,6年又293天
山西策略灵活配置混合,003659,0.47亿元（2020-09-30）,14.21%,24.65%,26.00%,81.21%,59.96%,75.65%,杨旭/李惟愚,12天,9.13%,4年又259天/1年又17天
中银美丽中国混合,000120,0.51亿元（2020-09-30）,18.33%,32.18%,37.52%,83.49%,97.14%,185.04%,严菲,1年又82天,102.65%,13年又103天
博时新兴成长混合,050009,35.95亿元（2020-09-30）,25.02%,31.88%,29.55%,78.95%,107.13%,66.29%,曾鹏,5年又355天,102.32%,7年又359天
东方创新科技混合,001702,6.50亿元（2020-09-30）,17.97%,35.37%,45.25%,112.70%,148.83%,136.59%,蒋茜,1年又135天,155.86%,3年又169天
九泰锐智事件驱动混合(LOF),168101,1.89亿元（2020-09-30）,14.08%,28.72%,29.02%,74.80%,96.26%,178.61%,刘开运,5年又151天,178.61%,5年又180天
农银行业轮动混合,660015,2.37亿元（2020-09-30）,17.47%,24.35%,29.55%,79.41%,88.77%,561.82%,韩林,362天,74.37%,4年又252天
易方达瑞恒灵活配置混合,001832,5.12亿元（2020-09-30）,17.37%,36.26%,57.97%,104.90%,--,171.70%,王元春/萧楠,2年又34天,255.16%,2年又34天/8年又106天
金元顺安价值增长混合,620004,0.34亿元（2020-09-30）,12.26%,18.69%,12.99%,37.27%,41.78%,3.50%,贾丽杰,2年又287天,50.00%,2年又291天
易方达国企改革混合,001382,1.50亿元（2020-09-30）,16.27%,38.29%,53.83%,97.99%,150.41%,175.20%,郭杰,3年又141天,175.20%,7年又305天
大成创业板两年定开混合A,160926,24.39亿元（2020-09-30）,15.86%,28.76%,--,--,--,26.94%,谢家乐/徐彦,178天,26.94%,1年又158天/6年又328天
诺安价值增长混合,320005,14.44亿元（2020-09-30）,16.52%,21.31%,21.68%,54.49%,61.14%,280.92%,王创练,1年又354天,111.87%,5年又288天
华富策略精选混合,410006,0.11亿元（2020-09-30）,13.01%,19.61%,17.59%,45.84%,39.82%,140.27%,高靖瑜,3年又247天,52.30%,6年又28天
鹏扬核心价值灵活配置A,006051,1.96亿元（2020-09-30）,21.85%,42.69%,51.20%,97.63%,--,124.59%,邓彬彬,79天,37.71%,3年又123天
