基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
永赢医药健康C,008619,0.77亿元（2020-09-30）,-4.14%,-0.98%,3.49%,--,--,15.07%,陆海燕/李永兴,235天,15.07%,4年又97天/6年又114天
博时丝路主题股票C,002556,0.13亿元（2020-09-30）,16.31%,35.46%,45.46%,89.33%,119.98%,196.14%,沙炜,4年又217天,181.02%,5年又235天
景顺长城电子信息产业股票C,010004,12.94亿元（2020-09-09）,1.16%,8.68%,--,--,--,8.63%,杨锐文,123天,8.63%,6年又79天
景顺长城量化新动力股票,001974,6.66亿元（2020-09-30）,11.01%,16.72%,19.36%,52.67%,61.40%,142.90%,黎海威,4年又182天,142.90%,7年又75天
华商医药医疗行业股票,008107,2.94亿元（2020-09-30）,5.55%,6.36%,4.50%,48.57%,--,48.45%,陈恒,1年又15天,48.45%,3年又169天
华泰柏瑞积极优选股票,001097,2.62亿元（2020-09-30）,13.01%,16.71%,13.15%,45.84%,37.71%,-3.60%,杜聪,137天,14.49%,137天
汇添富内需增长股票C,007524,0.83亿元（2020-09-30）,11.48%,26.02%,33.09%,85.35%,--,88.91%,郑慧莲/赵鹏飞,1年又164天,88.91%,3年又30天/4年又222天
汇添富内需增长股票A,007523,11.75亿元（2020-09-30）,11.53%,26.29%,33.57%,86.62%,--,90.88%,郑慧莲/赵鹏飞,1年又164天,90.88%,3年又30天/4年又222天
易方达研究精选股票,008286,94.99亿元（2020-09-30）,16.60%,32.27%,43.28%,--,--,83.21%,冯波,324天,83.21%,11年又13天
招商移动互联网产业股票基金,001404,8.51亿元（2020-09-30）,3.77%,6.47%,-4.16%,39.69%,40.93%,26.70%,张林,1年又211天,84.69%,5年又174天
东吴双三角C,005210,0.06亿元（2020-09-30）,7.51%,14.19%,3.06%,40.98%,32.01%,36.27%,胡启聪/彭敢,1年又204天,59.44%,1年又204天/9年又265天
东吴双三角A,005209,0.31亿元（2020-09-30）,7.55%,14.33%,3.32%,41.68%,34.22%,38.66%,胡启聪/彭敢,1年又204天,60.67%,1年又204天/9年又265天
南方中小盘成长股票,000326,2.18亿元（2020-09-30）,0.53%,7.02%,15.69%,43.31%,81.46%,91.83%,吴剑毅,5年又76天,91.83%,6年又178天
