基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
国泰央企改革股票,001626,2.31亿元（2020-09-30）,12.62%,24.25%,27.70%,73.18%,77.02%,148.00%,饶玉涵,2年又304天,84.94%,5年又125天
嘉实新兴产业股票,000751,139.61亿元（2020-09-30）,11.71%,17.69%,20.81%,78.90%,157.74%,456.20%,归凯,2年又38天,196.64%,4年又307天
嘉实资源精选股票C,005661,0.32亿元（2020-09-30）,22.74%,46.12%,62.60%,90.43%,--,143.83%,肖觅/苏文杰,173天,54.32%,4年又13天/2年又80天
财通集成电路产业股票A,006502,2.05亿元（2020-09-30）,2.18%,6.00%,-0.09%,39.42%,--,94.13%,金梓才,2年又43天,94.13%,6年又54天
中庚小盘价值股票,007130,27.75亿元（2020-09-30）,-1.60%,2.31%,8.11%,32.70%,--,41.25%,丘栋荣,1年又283天,41.25%,5年又248天
工银新金融股票,001054,10.72亿元（2020-09-30）,19.29%,44.17%,50.34%,119.16%,162.96%,188.20%,鄢耀,3年又94天,170.86%,7年又139天
汇添富环保行业股票,000696,17.15亿元（2020-09-30）,22.57%,47.67%,58.29%,109.43%,63.92%,144.40%,赵剑,235天,94.43%,235天
上投摩根慧选成长C,008315,5.25亿元（2020-09-30）,14.91%,23.75%,30.48%,--,--,92.06%,李德辉,354天,92.06%,4年又54天
工银医药健康股票A,006002,15.06亿元（2020-09-30）,13.77%,14.80%,14.69%,97.16%,--,221.05%,谭冬寒,1年又19天,103.45%,4年又131天
上投摩根慧选成长A,008314,38.58亿元（2020-09-30）,14.99%,24.02%,31.00%,--,--,93.51%,李德辉,354天,93.51%,4年又54天
中信证券量化优选A,900029,1.02亿元（2020-09-30）,13.72%,22.20%,24.29%,--,--,54.62%,罗昊,233天,54.62%,233天
银河康乐股票,519673,7.29亿元（2020-09-30）,5.45%,9.60%,20.58%,78.07%,133.80%,236.90%,余科苗,2年又133天,157.37%,3年又27天
财通集成电路产业股票C,006503,1.59亿元（2020-09-30）,2.11%,5.77%,-0.49%,38.32%,--,90.89%,金梓才,2年又43天,90.89%,6年又54天
中信证券量化优选C,900030,1.89亿元（2020-09-30）,13.65%,21.93%,23.77%,--,--,53.86%,罗昊,233天,53.86%,233天
工银医药健康股票C,006003,6.68亿元（2020-09-30）,13.72%,14.61%,14.35%,95.97%,--,215.99%,谭冬寒,1年又19天,102.17%,4年又131天
工银生态环境股票,001245,7.48亿元（2020-09-30）,24.61%,47.77%,65.43%,131.25%,137.82%,92.40%,闫思倩/何肖颉,2年又345天,137.53%,3年又86天/10年又97天
招商科技动力3个月股票A,009601,17.05亿元（2020-09-14）,16.79%,16.73%,--,--,--,16.68%,张林/贾成东,118天,16.68%,5年又174天/5年又345天
招商财经大数据股票A,003416,4.84亿元（2020-09-30）,19.93%,25.27%,43.15%,61.48%,53.36%,37.95%,贾成东,162天,25.94%,5年又345天
招商财经大数据股票C,007952,0.01亿元（2020-09-30）,19.87%,25.07%,42.67%,60.64%,--,69.35%,贾成东,162天,25.62%,5年又345天
嘉实先进制造股票,001039,13.32亿元（2020-09-30）,12.43%,22.17%,25.08%,77.63%,108.47%,94.50%,张淼,3年又121天,121.02%,5年又329天
华夏潜龙精选股票,005826,4.84亿元（2020-09-30）,22.68%,35.99%,39.36%,69.18%,--,134.53%,王睿智/潘中宁,1年又149天,89.21%,1年又149天/2年又106天
广发消费升级股票,006671,4.94亿元（2020-09-30）,13.05%,24.41%,32.50%,78.78%,--,114.22%,张东一,163天,29.28%,4年又169天
上投摩根研究驱动A,007388,1.97亿元（2020-09-30）,11.37%,25.69%,32.11%,--,--,36.79%,朱晓龙,212天,36.79%,2年又56天
天弘文化新兴产业,164205,7.69亿元（2020-09-30）,3.86%,13.34%,21.67%,44.03%,128.72%,193.13%,田俊维,3年又118天,128.36%,5年又221天
国泰互联网+股票,001542,14.08亿元（2020-09-30）,17.26%,21.11%,24.85%,84.67%,73.69%,256.77%,彭凌志,4年又138天,181.80%,5年又42天
上投摩根研究驱动C,007389,0.32亿元（2020-09-30）,11.30%,25.41%,31.57%,--,--,36.16%,朱晓龙,212天,36.16%,2年又56天
海富通电子传媒股票A,006081,0.43亿元（2020-09-30）,9.06%,15.56%,3.11%,63.46%,--,135.49%,施敏佳,2年又16天,135.49%,5年又78天
华宝品质生活股票,000867,1.69亿元（2020-09-30）,18.70%,26.14%,31.42%,73.56%,100.09%,120.61%,光磊,2年又59天,162.04%,5年又278天
工银美丽城镇股票,001043,4.23亿元（2020-09-30）,13.16%,27.26%,36.29%,90.94%,128.70%,161.40%,王君正,3年又94天,139.38%,7年又139天
前海开源公用事业股票,005669,0.31亿元（2020-09-30）,28.54%,55.98%,72.79%,73.18%,--,81.84%,崔宸龙,174天,71.05%,174天
信达澳银蓝筹精选股票,009988,29.38亿元（2020-09-09）,17.54%,28.43%,--,--,--,27.40%,邹运,123天,27.40%,1年又236天
海富通电子传媒股票C,006080,0.84亿元（2020-09-30）,8.98%,15.31%,2.70%,62.16%,--,129.59%,施敏佳,2年又16天,129.59%,5年又78天
泓德战略转型股票,001705,17.87亿元（2020-09-30）,18.72%,32.07%,50.92%,108.94%,139.22%,206.03%,秦毅,1年又61天,125.91%,3年又223天
上投摩根智慧互联股票,001313,11.39亿元（2020-09-30）,17.18%,23.57%,16.99%,66.27%,81.06%,40.50%,郭晨,5年又217天,40.50%,9年又269天
广发优势增长股票,007750,9.10亿元（2020-09-30）,11.53%,16.33%,19.87%,72.89%,--,73.41%,邱璟旻,1年又17天,73.41%,4年又266天
嘉实消费精选股票C,006605,0.86亿元（2020-09-30）,22.06%,37.02%,54.72%,112.76%,--,140.06%,吴越/常蓁,32天,22.65%,1年又143天/5年又306天
长江量化匠心甄选C,006957,0.22亿元（2020-09-30）,15.56%,18.69%,15.21%,42.88%,--,69.40%,曹紫建,114天,14.80%,2年又260天
嘉实消费精选股票A,006604,3.28亿元（2020-09-30）,22.10%,37.20%,55.09%,113.80%,--,142.56%,吴越/常蓁,32天,22.70%,1年又143天/5年又306天
国泰智能装备股票,001576,11.27亿元（2020-09-30）,10.85%,22.68%,38.52%,94.10%,121.42%,156.40%,王阳,1年又149天,146.78%,2年又59天
招商行业精选股票基金,000746,38.88亿元（2020-09-30）,19.54%,25.05%,50.24%,119.46%,167.05%,369.20%,贾成东,4年又4天,265.71%,5年又345天
大成产业升级股票(LOF),160919,2.78亿元（2020-09-30）,12.33%,19.57%,27.49%,68.20%,100.88%,138.22%,李林益,5年又1天,115.27%,5年又189天
华安智能装备主题股票,001072,6.98亿元（2020-09-30）,11.15%,19.72%,15.65%,59.45%,100.54%,125.21%,李欣,4年又112天,132.42%,5年又187天
长江量化匠心甄选A,006911,0.05亿元（2020-09-30）,15.62%,18.89%,15.56%,43.73%,--,71.56%,曹紫建,114天,15.02%,2年又260天
景顺长城成长之星股票,000418,4.20亿元（2020-09-30）,12.66%,20.95%,20.50%,78.24%,135.17%,322.60%,周寒颖/邓敬东,233天,55.83%,4年又222天/240天
华泰保兴多策略,007586,2.31亿元（2020-09-30）,18.25%,30.77%,49.19%,97.12%,--,163.97%,尚烁徽,1年又190天,163.97%,3年又293天
南方ESG股票C,008265,2.61亿元（2020-09-30）,18.18%,27.32%,38.84%,84.38%,--,85.74%,章晖,1年又23天,85.74%,5年又229天
创金合信新能源汽车股票A,005927,0.28亿元（2020-09-30）,30.47%,65.32%,58.67%,110.71%,--,136.99%,曹春林,2年又248天,136.99%,3年又188天
国泰智能汽车股票,001790,42.15亿元（2020-09-30）,19.64%,50.71%,60.04%,110.84%,137.87%,143.10%,王阳,142天,60.78%,2年又59天
华富成长企业精选股票,009398,19.55亿元（2020-09-30）,4.75%,12.14%,6.89%,--,--,7.97%,陈启明,206天,7.97%,6年又108天
国联安科技动力,001956,20.01亿元（2020-09-30）,9.66%,15.13%,1.01%,64.27%,83.55%,108.93%,潘明,4年又351天,108.93%,6年又331天
长信低碳环保行业量化股票,004925,0.43亿元（2020-09-30）,24.94%,50.03%,55.81%,108.55%,102.92%,100.65%,左金保,3年又63天,100.65%,5年又305天
宝盈医疗健康沪港深股票,001915,12.34亿元（2020-09-30）,8.93%,4.99%,6.08%,82.64%,114.39%,114.60%,郝淼,44天,15.87%,1年又359天
工银农业产业股票,001195,12.04亿元（2020-09-30）,8.40%,16.37%,30.80%,75.44%,112.35%,39.30%,杨柯,5年又231天,39.30%,7年又271天
华夏领先股票,001042,16.18亿元（2020-09-30）,16.18%,21.76%,15.30%,46.62%,24.25%,-8.80%,刘平,173天,17.07%,5年又43天
南方ESG股票A,008264,15.62亿元（2020-09-30）,18.24%,27.53%,39.25%,85.49%,--,86.92%,章晖,1年又23天,86.92%,5年又229天
东吴新产业精选股票,580008,3.43亿元（2020-09-30）,15.26%,26.01%,37.15%,67.23%,104.85%,266.07%,刘瑞,2年又37天,151.77%,2年又309天
工银新材料新能源股票,001158,16.78亿元（2020-09-30）,25.49%,49.66%,60.71%,102.62%,101.04%,54.60%,张剑峰,1年又150天,135.67%,4年又114天
中融智选红利股票C,005570,0.03亿元（2020-09-30）,10.51%,18.79%,15.61%,30.76%,--,50.56%,赵菲/陈薪羽,234天,33.87%,5年又243天/1年又163天
创金合信新能源汽车股票C,005928,0.33亿元（2020-09-30）,30.40%,65.01%,58.12%,109.29%,--,132.42%,曹春林,2年又248天,132.42%,3年又188天
嘉实智能汽车股票,002168,40.67亿元（2020-09-30）,20.15%,42.75%,41.03%,88.06%,144.78%,275.00%,姚志鹏,2年又297天,160.24%,4年又256天
嘉实事件驱动股票,001416,27.39亿元（2020-09-30）,17.14%,24.82%,28.00%,71.08%,63.72%,40.80%,张楠/张自力,1年又359天,149.65%,3年又6天/7年又212天
工银聚焦30股票,001496,2.37亿元（2020-09-30）,12.80%,29.37%,41.57%,107.29%,110.52%,62.10%,胡志利/王筱苓,1年又65天,113.01%,5年又147天/10年又141天
北信瑞丰优选成长,009954,2.37亿元（2020-09-27）,20.36%,24.04%,--,--,--,24.03%,王忠波,105天,24.03%,9年又63天
汇丰晋信价值先锋股票,004350,1.32亿元（2020-09-30）,8.82%,15.86%,14.97%,42.22%,--,102.56%,吴培文,1年又28天,48.97%,5年又104天
南方新兴消费增长股票(LOF)A,160127,9.72亿元（2020-11-23）,13.23%,21.06%,32.75%,86.12%,99.28%,423.63%,郑诗韵/茅炜,54天,12.30%,1年又36天/4年又343天
汇丰晋信智造先锋股票C,001644,9.11亿元（2020-09-30）,23.60%,55.87%,56.18%,114.00%,196.37%,212.25%,陆彬,1年又14天,143.94%,1年又238天
南方新兴消费增长股票(LOF)C,160144,--亿元（--）,13.18%,--,--,--,--,12.25%,郑诗韵/茅炜,54天,12.25%,1年又36天/4年又343天
嘉实环保低碳股票,001616,47.03亿元（2020-09-30）,18.13%,38.60%,44.27%,111.24%,127.28%,259.10%,姚志鹏,2年又296天,136.25%,4年又256天
鹏华优势企业,005268,26.01亿元（2020-09-30）,19.33%,24.51%,27.98%,92.78%,146.14%,150.13%,陈璇淼,2年又55天,216.14%,4年又288天
汇丰晋信智造先锋股票A,001643,10.03亿元（2020-09-30）,23.65%,56.09%,56.57%,115.06%,200.62%,220.27%,陆彬,1年又14天,145.17%,1年又238天
中银新动力股票,000996,14.53亿元（2020-09-30）,16.89%,27.67%,28.67%,103.99%,75.89%,48.10%,吴印,2年又253天,113.40%,9年又211天
申万菱信创业板量化精选股票A,009557,15.78亿元（2020-09-30）,3.51%,9.39%,7.81%,--,--,7.85%,俞诚,195天,7.85%,5年又40天
长盛竞争优势股票A,008412,10.03亿元（2020-09-30）,13.19%,15.32%,--,--,--,13.04%,周思聪,171天,13.04%,6年又214天
长盛竞争优势股票C,008413,1.30亿元（2020-09-30）,13.11%,15.07%,--,--,--,12.62%,周思聪,171天,12.62%,6年又214天
建信环保产业股票,001166,17.04亿元（2020-09-30）,22.52%,36.97%,50.54%,90.36%,69.36%,38.20%,姜锋,5年又265天,38.20%,9年又185天
建信高端医疗股票,004683,3.65亿元（2020-09-30）,7.49%,6.12%,15.02%,82.19%,99.17%,101.88%,潘龙玲,3年又177天,101.88%,4年又287天
建信信息产业股票,001070,4.45亿元（2020-09-30）,15.32%,30.07%,31.59%,73.76%,99.33%,169.50%,邵卓,5年又294天,169.50%,5年又294天
鹏华价值精选股票,206012,4.34亿元（2020-09-30）,18.98%,24.69%,37.75%,96.59%,116.39%,211.60%,张航,1年又283天,136.42%,2年又163天
富国新兴产业股票,001048,12.73亿元（2020-09-30）,16.33%,24.28%,30.16%,54.55%,41.36%,103.70%,方纬,191天,38.85%,6年又41天
中融智选红利股票A,005569,0.27亿元（2020-09-30）,10.56%,18.94%,15.87%,31.50%,--,52.47%,赵菲/陈薪羽,234天,34.24%,5年又243天/1年又163天
申万菱信创业板量化精选股票C,010505,--亿元（--）,3.48%,--,--,--,--,2.60%,俞诚,73天,2.60%,5年又40天
建信大安全战略精选股票,001473,2.18亿元（2020-09-30）,9.42%,25.15%,33.17%,76.79%,114.56%,215.62%,王东杰,5年又167天,215.62%,5年又244天
鹏华环保产业股票,000409,5.10亿元（2020-09-30）,21.45%,43.05%,58.42%,122.79%,151.17%,349.60%,孟昊,1年又168天,179.25%,2年又335天
富国高端制造行业股票,000513,15.37亿元（2020-09-30）,11.73%,16.01%,24.06%,72.76%,111.37%,275.40%,毕天宇,2年又79天,195.36%,15年又49天
建信互联网+产业升级股票,001396,5.99亿元（2020-09-30）,14.20%,25.53%,29.70%,63.32%,76.16%,36.70%,何珅华,5年又203天,36.70%,5年又270天
博时工业4.0主题股票,002595,0.87亿元（2020-09-30）,17.01%,23.47%,33.19%,60.72%,103.91%,150.40%,兰乔,1年又221天,121.79%,5年又43天
汇添富高端制造股票,001725,15.03亿元（2020-09-30）,11.38%,16.40%,30.95%,72.88%,81.65%,150.50%,赵鹏飞,3年又297天,150.50%,4年又222天
长信消费精选量化股票,004805,0.16亿元（2020-09-30）,19.97%,27.00%,38.89%,85.81%,--,130.77%,左金保,2年又310天,130.77%,5年又305天
南方教育股票,003956,14.02亿元（2020-09-30）,17.09%,22.83%,5.31%,55.96%,137.54%,126.87%,萧嘉倩,338天,35.04%,1年又247天
鹏华改革红利股票,001188,5.93亿元（2020-09-30）,17.87%,24.49%,30.13%,44.81%,60.00%,46.40%,郭盈/袁航,201天,41.72%,201天/6年又69天
工银物流产业股票,001718,1.18亿元（2020-09-30）,16.31%,33.86%,59.15%,82.04%,132.87%,220.20%,张宇帆,221天,81.93%,4年又316天
鹏华养老产业股票,000854,8.39亿元（2020-09-30）,15.08%,27.44%,36.43%,91.19%,140.33%,327.30%,王宗合,6年又41天,327.30%,10年又16天
金鹰科技创新股票,001167,5.15亿元（2020-09-30）,18.15%,25.59%,30.74%,61.59%,64.30%,17.80%,乔春,257天,62.04%,4年又241天
融通产业趋势先锋股票,008445,10.76亿元（2020-09-30）,13.14%,14.87%,23.18%,--,--,29.77%,彭炜,223天,29.77%,3年又159天
上投摩根医疗健康股票,001766,12.95亿元（2020-09-30）,10.57%,14.46%,20.77%,81.53%,192.37%,160.50%,方钰涵,1年又148天,112.31%,2年又161天
南方量化成长,001421,2.86亿元（2020-09-30）,13.84%,20.39%,21.45%,58.64%,37.18%,65.30%,李佳亮,3年又63天,35.71%,4年又159天
添富智能制造股票,005802,12.03亿元（2020-09-30）,10.38%,14.38%,27.08%,62.55%,--,79.47%,赵鹏飞,2年又263天,79.47%,4年又222天
交银消费新驱动股票,519714,6.07亿元（2020-09-30）,12.71%,35.34%,48.17%,113.35%,144.39%,550.93%,韩威俊,2年又127天,169.11%,4年又357天
国泰大农业股票,001579,12.08亿元（2020-09-30）,7.93%,13.52%,18.88%,57.97%,135.58%,169.50%,程洲,3年又210天,169.50%,12年又285天
华商高端装备制造股票,008009,2.76亿元（2020-09-30）,14.05%,31.92%,43.30%,99.21%,--,101.68%,吴昊,16天,9.53%,3年又169天
上投摩根新兴服务股票,001482,0.66亿元（2020-09-30）,15.52%,23.21%,21.99%,85.99%,106.50%,133.97%,杨景喻/郭晨,5年又13天,89.45%,5年又161天/9年又269天
金鹰信息产业股票C,005885,2.93亿元（2020-09-30）,15.70%,39.50%,37.50%,84.82%,--,234.26%,樊勇,1年又38天,131.65%,2年又91天
中金消费升级,001193,0.96亿元（2020-09-30）,16.55%,30.88%,43.56%,97.45%,102.86%,70.40%,闫鑫,125天,27.35%,125天
兴银研究精选股票A,008537,4.01亿元（2020-09-30）,13.88%,20.76%,--,--,--,19.75%,王丝语/杨坤,165天,19.75%,165天/1年又294天
天弘甄选食品饮料股票A,009875,0.34亿元（2020-08-20）,18.39%,33.09%,--,--,--,31.52%,于洋,143天,31.52%,1年又147天
建信中国制造2025,001825,0.66亿元（2020-09-30）,15.75%,39.11%,41.17%,94.73%,113.34%,118.27%,孙晟,3年又309天,118.27%,4年又287天
上投摩根卓越制造股票,001126,26.28亿元（2020-09-30）,21.09%,27.93%,38.04%,113.08%,165.50%,97.53%,李德辉,2年又210天,203.89%,4年又54天
天弘甄选食品饮料股票C,009876,0.74亿元（2020-08-20）,18.38%,33.02%,--,--,--,31.42%,于洋,143天,31.42%,1年又147天
长盛价值发现股票,008410,0.25亿元（2020-09-30）,16.63%,23.85%,15.42%,--,--,34.37%,冯雨生,270天,34.37%,9年又186天
广发品牌消费股票发起式C,010245,0.40亿元（2020-09-30）,18.11%,29.30%,--,--,--,31.41%,陈樱子/孙迪,108天,31.41%,158天/3年又28天
华夏节能环保股票,004640,2.46亿元（2020-09-30）,25.75%,40.96%,60.86%,120.37%,147.35%,127.44%,吕佳玮,3年又153天,127.44%,3年又153天
上投摩根民生需求股票,000524,2.31亿元（2020-09-30）,15.92%,24.83%,26.04%,87.07%,99.59%,306.31%,杨景喻,1年又260天,145.98%,5年又161天
金鹰信息产业股票A,003853,7.17亿元（2020-09-30）,15.74%,39.65%,37.78%,85.55%,237.93%,250.26%,樊勇,1年又38天,132.66%,2年又91天
兴银研究精选股票C,008538,1.41亿元（2020-09-30）,13.76%,20.41%,--,--,--,19.29%,王丝语/杨坤,165天,19.29%,165天/1年又294天
银华新能源新材料A,005037,0.68亿元（2020-09-30）,25.79%,47.90%,55.58%,96.86%,75.49%,69.22%,李宜璇,2年又16天,152.26%,3年又17天
汇添富外延增长主题股票,000925,32.01亿元（2020-09-30）,13.40%,15.52%,18.10%,65.19%,41.93%,79.40%,蔡志文/王栩,1年又38天,74.34%,1年又38天/10年又341天
银华中国梦30股票,001163,9.86亿元（2020-09-30）,14.27%,26.30%,44.60%,103.10%,117.63%,155.50%,薄官辉,5年又258天,155.50%,5年又258天
景顺长城中小板创业板精选股票,000586,4.92亿元（2020-09-30）,5.61%,8.92%,4.29%,25.40%,66.14%,142.90%,李孟海,5年又223天,-7.29%,5年又315天
西部利得事件驱动股票,671030,0.04亿元（2020-09-30）,16.49%,29.81%,27.73%,50.34%,--,110.46%,张昌平/童国林,64天,19.00%,66天/3年又208天
农银医疗保健股票,000913,34.07亿元（2020-09-30）,11.85%,11.00%,14.12%,84.98%,181.51%,187.79%,赵伟,3年又199天,203.61%,3年又205天
招商中国机遇股票,001749,3.01亿元（2020-09-30）,17.20%,30.93%,33.74%,104.17%,--,130.30%,王景/李亚,2年又129天,164.71%,9年又61天/6年又30天
银华新能源新材料C,005038,0.61亿元（2020-09-30）,25.75%,47.73%,55.27%,96.06%,73.16%,66.77%,李宜璇,2年又16天,150.06%,3年又17天
汇添富新兴消费股票,001726,5.56亿元（2020-09-30）,15.23%,19.34%,22.19%,65.03%,69.19%,94.40%,刘伟林,3年又205天,97.96%,5年又41天
前海开源价值策略股票,005328,0.56亿元（2020-09-30）,18.02%,26.31%,16.63%,63.88%,61.21%,61.36%,肖立强,1年又226天,107.00%,2年又87天
汇安趋势动力股票A,005628,0.03亿元（2020-09-30）,19.40%,23.44%,10.60%,33.72%,--,52.35%,周加文,221天,26.78%,3年又310天
申万菱信行业轮动股票,005009,0.77亿元（2020-09-30）,21.57%,29.20%,34.03%,91.91%,74.55%,79.99%,林博程,241天,75.16%,2年又303天
南方智造股票,001696,1.41亿元（2020-09-30）,15.86%,18.55%,23.25%,77.74%,106.23%,121.49%,应帅,3年又161天,121.49%,13年又248天
嘉实回报精选股票,008958,22.80亿元（2020-09-30）,19.09%,35.56%,38.77%,--,--,56.51%,常蓁,310天,56.51%,5年又306天
申万菱信智能驱动股票,005825,2.80亿元（2020-09-30）,12.40%,22.92%,25.56%,68.41%,--,187.46%,徐远航,179天,23.22%,181天
鹏华医疗保健股票,000780,12.06亿元（2020-09-30）,16.51%,17.69%,22.21%,92.44%,136.16%,190.00%,郎超,303天,73.34%,2年又274天
创金合信工业周期股票C,005969,2.19亿元（2020-09-30）,31.71%,53.51%,85.26%,154.04%,--,210.94%,李游,2年又239天,210.94%,4年又70天
华安新丝路主题股票,001104,16.53亿元（2020-09-30）,20.37%,28.81%,40.61%,102.43%,173.67%,190.09%,谢昌旭,1年又64天,101.03%,2年又72天
汇安趋势动力股票C,005629,0.01亿元（2020-09-30）,19.35%,23.28%,10.32%,33.06%,--,49.88%,周加文,221天,26.41%,3年又310天
创金合信工业周期股票A,005968,1.15亿元（2020-09-30）,31.78%,53.80%,85.89%,155.79%,--,216.41%,李游,2年又239天,216.41%,4年又70天
广发品牌消费股票发起式A,004995,4.02亿元（2020-09-30）,18.15%,29.43%,45.41%,108.08%,124.31%,129.22%,陈樱子/孙迪,158天,29.01%,158天/3年又28天
中银战略新兴产业股票A,001677,4.24亿元（2020-09-30）,21.71%,25.75%,31.51%,78.29%,105.94%,184.20%,钱亚风云,5年又47天,184.20%,5年又169天
创金气候变化责任投资股票C,011147,0.05亿元（2020-12-30）,--,--,--,--,--,9.36%,曹春林,11天,9.36%,3年又188天
华夏优势精选股票,005894,1.67亿元（2020-09-30）,26.73%,39.32%,31.38%,70.04%,--,121.25%,李湘杰,2年又157天,121.25%,6年又243天
建信中小盘先锋股票,000729,1.59亿元（2020-09-30）,12.19%,24.36%,30.83%,80.77%,70.85%,161.40%,周智硕/邵卓,114天,19.69%,114天/5年又294天
汇添富国企创新股票,001490,6.93亿元（2020-09-30）,14.65%,24.66%,38.84%,97.47%,93.62%,118.40%,李威,2年又316天,93.27%,5年又348天
泰达宏利首选企业股票,162208,5.12亿元（2020-09-30）,16.60%,28.00%,24.17%,78.89%,100.27%,375.00%,张勋,6年又49天,184.31%,6年又52天
创金气候变化责任投资股票A,011146,0.05亿元（2020-12-30）,--,--,--,--,--,9.37%,曹春林,11天,9.37%,3年又188天
创金合信消费主题股票C,003191,0.77亿元（2020-09-30）,20.59%,32.51%,30.80%,83.38%,176.58%,180.73%,陈建军,1年又226天,110.87%,1年又226天
华商改革创新股票,002289,0.84亿元（2020-09-30）,10.66%,17.94%,8.98%,49.81%,--,101.36%,李双全,2年又315天,101.36%,5年又279天
建信现代服务业股票,001781,0.22亿元（2020-09-30）,21.65%,36.02%,33.24%,77.10%,82.63%,128.10%,陶灿,4年又323天,128.10%,9年又186天
汇丰晋信中小盘股票,540007,0.87亿元（2020-09-30）,14.59%,24.93%,20.31%,65.99%,92.49%,144.54%,刘哲华,183天,14.77%,356天
工银智能制造股票,002861,1.33亿元（2020-09-30）,14.56%,25.22%,26.07%,86.26%,74.86%,85.70%,农冰立,2年又189天,148.93%,2年又203天
海富通先进制造股票A,008085,5.05亿元（2020-09-30）,16.23%,19.71%,0.89%,20.61%,--,20.38%,吕越超,1年又25天,20.38%,5年又273天
建信改革红利股票,000592,1.56亿元（2020-09-30）,20.29%,40.26%,56.09%,103.86%,123.84%,422.90%,陶灿,6年又243天,422.90%,9年又186天
银华农业产业股票发起式,005106,14.72亿元（2020-09-30）,11.12%,12.96%,19.79%,68.79%,126.84%,144.83%,王翔,3年又105天,144.83%,3年又315天
创金合信消费主题股票A,003190,0.25亿元（2020-09-30）,20.66%,32.76%,31.26%,84.66%,181.48%,187.96%,陈建军,1年又226天,114.21%,1年又226天
诺安新经济股票,000971,13.93亿元（2020-09-30）,15.52%,23.65%,20.84%,70.58%,99.66%,75.70%,杨琨,1年又325天,163.42%,4年又166天
华商消费行业股票,004189,0.32亿元（2020-09-30）,16.45%,29.75%,40.88%,89.54%,38.09%,45.69%,何奇峰,3年又302天,45.69%,5年又350天
海富通先进制造股票C,008084,2.26亿元（2020-09-30）,16.20%,19.58%,0.70%,20.12%,--,19.88%,吕越超,1年又25天,19.88%,5年又273天
建信高股息主题股票,008177,4.54亿元（2020-09-30）,23.42%,42.08%,62.31%,--,--,85.40%,陶灿,355天,85.40%,9年又186天
华商上游产业股票,005161,0.22亿元（2020-09-30）,14.19%,22.15%,26.76%,58.87%,66.91%,67.69%,童立,3年又15天,67.69%,4年又274天
中欧先进制造股票A,004812,1.71亿元（2020-09-30）,27.36%,49.73%,70.79%,132.91%,--,188.83%,卢纯青,200天,91.40%,200天
中银战略新兴产业股票C,010812,--亿元（--）,--,--,--,--,--,23.48%,钱亚风云,30天,23.48%,5年又169天
红土创新新科技股票,006265,0.89亿元（2020-09-30）,23.41%,44.33%,51.07%,109.91%,--,245.82%,朱然,2年又119天,245.82%,3年又65天
易方达消费行业股票,110022,241.84亿元（2020-09-30）,18.20%,36.03%,49.50%,83.24%,130.36%,455.40%,萧楠,6年又2天,407.68%,8年又106天
银华食品饮料量化股票发起式C,005236,0.69亿元（2020-09-30）,15.73%,33.87%,49.40%,110.19%,153.77%,165.34%,李宜璇/马君,73天,22.38%,3年又17天/8年又130天
信达澳银转型创新股票,001105,4.00亿元（2020-09-30）,19.71%,33.73%,33.20%,77.66%,66.79%,33.60%,王咏辉,1年又238天,100.00%,7年又266天
上投摩根安全战略股票,001009,7.52亿元（2020-09-30）,20.30%,29.45%,37.32%,89.12%,127.16%,132.61%,陈思郁,1年又176天,153.12%,5年又161天
建信食品饮料行业股票,009476,6.83亿元（2020-08-26）,16.49%,27.43%,--,--,--,23.75%,吴尚伟,137天,23.75%,6年又48天
博时军工主题股票,004698,24.42亿元（2020-09-30）,22.32%,29.60%,60.30%,104.61%,109.02%,113.20%,兰乔,3年又191天,113.20%,5年又43天
建信潜力新蓝筹股票,000756,0.60亿元（2020-09-30）,13.29%,22.41%,28.50%,68.37%,61.22%,150.70%,周智硕/邵卓,114天,19.89%,114天/5年又294天
中欧先进制造股票C,004813,1.07亿元（2020-09-30）,27.28%,49.42%,70.14%,131.10%,--,188.00%,卢纯青,200天,90.60%,200天
泰达转型机遇,000828,1.20亿元（2020-09-30）,23.43%,52.36%,48.94%,109.46%,154.74%,187.43%,王鹏,3年又23天,160.28%,3年又65天
工银高端制造股票,000793,9.32亿元（2020-09-30）,19.47%,38.34%,57.28%,133.05%,102.61%,117.20%,黄安乐,2年又220天,143.77%,9年又51天
嘉实农业产业股票,003634,31.45亿元（2020-09-30）,15.69%,20.84%,29.23%,78.40%,102.41%,145.30%,吴越,32天,17.68%,1年又143天
长盛多因子策略优选,006478,2.25亿元（2020-09-30）,17.65%,32.22%,49.55%,87.48%,--,113.74%,冯雨生,1年又225天,111.42%,9年又186天
银华兴盛股票,006251,1.15亿元（2020-09-30）,20.05%,34.62%,36.87%,94.74%,--,107.52%,王浩/薄官辉,264天,82.69%,5年又55天/5年又258天
银华食品饮料量化股票发起式A,005235,1.14亿元（2020-09-30）,15.77%,34.01%,49.69%,111.01%,155.68%,167.16%,李宜璇/马君,73天,22.48%,3年又17天/8年又130天
创金合信研究精选股票C,010002,0.00亿元（2020-11-04）,18.36%,--,--,--,--,20.45%,王妍,67天,20.45%,1年又11天
太平智选一年定开股票,009794,5.10亿元（2020-08-14）,14.57%,22.88%,--,--,--,21.87%,常璐,149天,21.87%,292天
