基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
工银国债(7-10年)指数A,004085,1.68亿元（2020-09-30）,0.84%,0.59%,0.34%,1.46%,12.12%,9.38%,陈涵,1年又81天,2.81%,1年又205天
中泰中证可转债及可交债指数C,008403,0.23亿元（2020-09-30）,1.90%,3.83%,-0.27%,--,--,3.90%,张蓓蓓(Zhang Phoebe)/朱未一,320天,3.55%,1年又260天/357天
南方中债10年期国债C,160124,0.35亿元（2020-09-30）,0.79%,0.51%,0.41%,1.67%,11.69%,30.68%,董浩,5年又13天,8.61%,5年又123天
华夏上清所1-3年高等级国企中票A,009445,3.42亿元（2020-09-29）,0.09%,0.19%,--,--,--,0.19%,张海静,103天,0.19%,1年又310天
华夏亚债中国指数A,001021,99.29亿元（2020-09-30）,0.93%,1.36%,1.02%,2.16%,15.77%,42.92%,张海静,1年又5天,2.16%,1年又310天
建信中债5-10国开指数A,007080,0.18亿元（2020-09-30）,0.81%,1.98%,1.97%,4.46%,--,5.70%,闫晗,1年又116天,5.70%,3年又69天
东吴中证可转换债券指数,165809,0.11亿元（2020-09-30）,1.62%,3.55%,-1.12%,2.20%,14.66%,-12.41%,王文华,1年又18天,4.33%,6年又89天
长盛全债指数增强债券,510080,0.89亿元（2020-09-30）,4.23%,7.05%,5.46%,15.27%,25.45%,309.65%,杨哲,1年又127天,19.68%,2年又214天
中银中债1-5年国开债指数,009924,80.00亿元（2020-12-10）,--,--,--,--,--,0.32%,田原,31天,0.32%,1年又323天
富国中债0-2年国开债指数C,010860,0.01亿元（2020-12-22）,--,--,--,--,--,0.30%,吴旅忠,19天,0.30%,4年又169天
富国中债0-2年国开债指数A,010859,51.40亿元（2020-12-22）,--,--,--,--,--,0.30%,吴旅忠,19天,0.30%,4年又169天
光大中债1-5年政金债,010497,70.06亿元（2020-12-14）,--,--,--,--,--,0.14%,魏丽,27天,0.14%,4年又252天
国寿中债3-5年政金债指数C,009582,0.00亿元（2020-12-11）,--,--,--,--,--,0.40%,卢珊/黄力,13天,0.06%,37天/6年又357天
国寿中债3-5年政金债指数A,009581,80.00亿元（2020-12-11）,--,--,--,--,--,0.41%,卢珊/黄力,13天,0.07%,37天/6年又357天
