基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
大成彭博农发行债1-3年指数C,009220,0.00亿元（2020-09-30）,0.83%,1.35%,1.64%,--,--,1.69%,方锐,122天,1.53%,125天
南方1-5年国开债C,008257,0.00亿元（2020-09-30）,0.99%,1.60%,1.72%,--,--,1.17%,朱佳/董浩/夏晨曦,233天,1.08%,233天/5年又123天/8年又176天
广发中债1-3年国开债C,006485,0.00亿元（2020-09-30）,0.72%,1.29%,1.51%,2.37%,--,6.39%,李伟,1年又19天,2.60%,2年又128天
广发中债1-3年国开债A,006484,67.78亿元（2020-09-30）,0.73%,1.31%,1.56%,2.48%,--,6.64%,李伟,1年又19天,2.71%,2年又128天
华安中债1-3年政策金融债A,007180,30.86亿元（2020-09-30）,0.92%,1.51%,1.57%,2.51%,--,5.28%,林唐宇,76天,1.25%,362天
鑫元中债1-3年国开债指数A,007324,1.05亿元（2020-09-30）,0.84%,1.38%,1.49%,2.03%,--,2.61%,王海燕,1年又65天,2.61%,2年又84天
银华中债1-3年农发行债券指数,009541,94.18亿元（2020-09-30）,0.79%,1.31%,1.46%,--,--,1.49%,赵旭东,230天,1.49%,1年又67天
景顺长城中债1-3年国开行债券指数A,008822,16.06亿元（2020-09-30）,0.73%,1.27%,1.58%,--,--,1.61%,成念良,206天,1.61%,5年又32天
易方达中债1-3年政金债A,007364,19.09亿元（2020-09-30）,0.88%,1.48%,1.64%,3.13%,--,3.55%,杨真,23天,0.59%,43天
中加1-3年政金债指数,008574,39.02亿元（2020-09-30）,0.73%,1.21%,1.28%,--,--,1.09%,魏泰源,27天,0.66%,2年又113天
交银中债1-3年政金债指数A,009315,74.10亿元（2020-08-20）,0.70%,1.25%,--,--,--,1.50%,季参平,143天,1.50%,1年又169天
建信中债1-3年农发行债券指数C,009555,0.00亿元（2020-09-28）,0.76%,1.22%,--,--,--,1.23%,闫晗,104天,1.23%,3年又69天
博时中债1-3年国开行C,007148,0.00亿元（2020-09-30）,0.80%,1.33%,1.19%,2.04%,--,4.69%,万志文,76天,1.11%,76天
华安中债1-5年国开行债C,009657,0.00亿元（2020-09-23）,0.99%,1.60%,--,--,--,1.65%,林唐宇,109天,1.65%,362天
嘉实中债1-3政金债指数C,007022,0.01亿元（2020-09-30）,0.81%,1.33%,1.38%,2.69%,--,5.03%,尹页,109天,1.35%,2年又111天
华夏中债1-3年政金债指数A,007165,60.63亿元（2020-09-30）,0.78%,1.31%,1.38%,2.97%,--,5.65%,刘明宇,1年又261天,5.65%,3年又31天
农银国债及政金债1-5年指数,008658,17.01亿元（2020-09-30）,0.75%,1.08%,1.02%,--,--,1.11%,姚臻,208天,1.11%,4年又159天
上银中债1-3年国开行债券指数,009560,44.97亿元（2020-09-30）,0.80%,1.33%,1.53%,--,--,1.27%,倪侃,213天,1.27%,2年又175天
海富通中债1-3年国开债C,008789,0.00亿元（2020-09-30）,0.82%,1.47%,1.77%,--,--,1.26%,陆丛凡,227天,1.26%,1年又192天
易方达中债1-3年政金债C,007365,0.00亿元（2020-09-30）,0.88%,1.46%,1.58%,3.04%,--,3.45%,杨真,23天,0.59%,43天
农银汇理彭博1-3年利率债指数,008216,88.63亿元（2020-09-30）,0.80%,1.40%,1.44%,2.82%,--,2.86%,郭振宇,1年又15天,2.86%,1年又343天
招商中债-1-3年国开债A,008813,58.50亿元（2020-09-09）,0.77%,1.31%,--,--,--,1.39%,周欣宇,123天,1.39%,3年又64天
国泰中债1-3年国开债C,009594,0.00亿元（2020-08-27）,0.77%,1.35%,--,--,--,1.59%,索峰/王玉,128天,1.54%,11年又320天/1年又17天
民生加银1-3年农发行债,007259,127.69亿元（2020-09-30）,0.78%,1.31%,1.41%,2.40%,--,4.69%,陆欣,1年又229天,4.69%,10年又107天
博时中债1-3政金债指数A,006633,33.08亿元（2020-09-30）,0.80%,1.35%,1.13%,2.10%,--,5.80%,张鹿,2年又32天,5.80%,2年又179天
中信保诚中债1-3年国开行A,008454,1.50亿元（2020-09-30）,0.42%,0.80%,1.00%,--,--,1.04%,何文忠/吴胤希,181天,1.11%,1年又288天/4年又89天
南方1-3年国开债A,006491,186.09亿元（2020-09-30）,0.85%,1.46%,1.61%,3.02%,--,7.62%,朱佳/董浩/夏晨曦,233天,0.35%,233天/5年又123天/8年又176天
建信中债1-3年农发行债券指数A,009554,65.10亿元（2020-09-28）,0.77%,1.25%,--,--,--,1.26%,闫晗,104天,1.26%,3年又69天
富国中债国开行债A,006409,42.43亿元（2020-09-30）,0.80%,1.37%,1.52%,2.68%,--,7.91%,吴旅忠/武磊,1年又256天,5.55%,4年又169天/3年又315天
中融中债1-5年国开行C,009530,0.00亿元（2020-09-30）,0.69%,1.19%,1.66%,--,--,1.71%,朱柏蓉/李倩,188天,1.65%,1年又346天/6年又83天
华夏中债1-3年政金债指数C,007166,0.00亿元（2020-09-30）,0.77%,1.28%,1.33%,2.87%,--,5.48%,刘明宇,1年又261天,5.48%,3年又31天
工银1-3年国开债指数C,007123,0.00亿元（2020-09-30）,0.74%,1.32%,1.39%,2.67%,--,4.52%,陈涵/魏欣,1年又150天,4.08%,1年又205天/9年又268天
海富通中债1-3年国开债A,008790,21.92亿元（2020-09-30）,0.81%,1.37%,1.59%,--,--,1.03%,陆丛凡,227天,1.03%,1年又192天
平安中债1-5年政策性金融债C,009722,0.00亿元（2020-09-27）,0.47%,0.97%,--,--,--,1.00%,张恒/韩克,31天,0.43%,3年又3天/2年又130天
嘉实彭博国开债1-5年指数C,009773,0.00亿元（2020-11-02）,0.50%,--,--,--,--,0.71%,王立芹/崔思维,13天,0.17%,80天/3年又189天
大成彭博农发行债1-3年指数A,009219,24.09亿元（2020-09-30）,0.81%,1.35%,1.67%,--,--,1.73%,方锐,122天,1.54%,125天
嘉实彭博国开债1-5年指数A,009772,79.92亿元（2020-11-02）,0.51%,--,--,--,--,0.73%,王立芹/崔思维,13天,0.17%,80天/3年又189天
南方1-3年国开债C,006492,0.28亿元（2020-09-30）,0.83%,1.43%,1.56%,2.91%,--,7.35%,朱佳/董浩/夏晨曦,233天,0.28%,233天/5年又123天/8年又176天
中信保诚中债1-3年国开行C,008455,0.00亿元（2020-09-30）,0.41%,0.78%,0.95%,--,--,0.98%,何文忠/吴胤希,181天,1.06%,1年又288天/4年又89天
鹏华中债-0-3年AA+优选信用债A,009742,1.95亿元（2020-09-23）,0.22%,3.17%,--,--,--,3.22%,李振宇,109天,3.22%,4年又14天
鹏华中债-0-3年AA+优选信用债C,009743,0.10亿元（2020-09-23）,0.22%,2.94%,--,--,--,2.55%,李振宇,109天,2.55%,4年又14天
易方达中债3-5年期国债指数,001512,0.97亿元（2020-09-30）,0.93%,0.93%,0.76%,1.87%,11.66%,19.70%,杨真/胡剑,43天,0.93%,43天/8年又318天
招商中债1-5年进出口行A,006473,16.05亿元（2020-09-30）,0.78%,1.48%,1.62%,2.77%,--,6.53%,向霈/周欣宇,2年又7天,6.16%,7年又16天/3年又64天
富国中债1-5年农发行A,007197,19.39亿元（2020-09-30）,0.91%,1.54%,1.67%,2.82%,--,6.00%,武磊,76天,1.29%,3年又315天
华富中债-0-5年中高等级信用债指数C,007847,0.00亿元（2020-09-30）,0.48%,0.71%,0.88%,--,--,1.45%,郜哲/张娅,263天,1.45%,2年又322天/11年又197天
太平中债1-3年政策性金融债A,009087,1.20亿元（2020-09-30）,0.77%,1.33%,1.37%,--,--,1.56%,吴超,227天,1.56%,2年又333天
工银中债1-5年进出口行C,007285,0.00亿元（2020-09-30）,0.77%,1.45%,1.45%,2.60%,--,2.92%,刘婷/陈涵/魏欣,163天,1.42%,163天/1年又205天/9年又268天
浦银中债3-5年农发债指数C,006960,0.00亿元（2020-09-11）,0.61%,1.06%,--,--,--,1.16%,李羿,121天,1.16%,6年又119天
富国中债1-5年农发行C,007198,0.00亿元（2020-09-30）,0.91%,1.50%,1.62%,2.55%,--,5.63%,武磊,76天,1.26%,3年又315天
工银中债1-5年进出口行A,007284,2.31亿元（2020-09-30）,0.78%,1.48%,1.52%,2.72%,--,3.05%,刘婷/陈涵/魏欣,163天,1.47%,163天/1年又205天/9年又268天
太平中债1-3年政策性金融债C,009088,0.50亿元（2020-09-30）,0.77%,1.30%,1.31%,--,--,1.49%,吴超,227天,1.49%,2年又333天
浦银中债3-5年农发债指数A,006959,33.20亿元（2020-09-11）,0.61%,1.08%,--,--,--,1.19%,李羿,121天,1.19%,6年又119天
南方3-5年农发债C,006494,0.52亿元（2020-09-30）,0.94%,2.42%,2.54%,3.85%,--,8.28%,朱佳,65天,1.19%,233天
南方3-5年农发债A,006493,17.77亿元（2020-09-30）,0.94%,1.73%,1.88%,3.22%,--,7.73%,朱佳,65天,1.21%,233天
华泰紫金中债1-5年国开债指数A,008964,13.45亿元（2020-09-30）,0.83%,1.53%,1.12%,--,--,0.98%,杨义山/陈晨/阮毅,136天,1.76%,1年又66天/1年又311天/2年又72天
交银中债1-3年政金债指数C,009316,0.00亿元（2020-08-20）,0.00%,0.00%,--,--,--,0.00%,季参平,143天,0.00%,1年又169天
招商中债-1-3年国开债C,008814,2.50亿元（2020-09-09）,0.75%,1.28%,--,--,--,1.39%,周欣宇,123天,1.39%,3年又64天
鹏华中债1-3隐含评级AAA指数C,009746,0.10亿元（2020-09-23）,5.15%,5.10%,--,--,--,5.70%,李振宇,109天,5.70%,4年又14天
中银中债1-3年期国开债指数,007035,112.78亿元（2020-12-31）,0.84%,1.42%,1.56%,2.84%,--,6.00%,郑涛/田原,1年又292天,5.93%,4年又218天/1年又323天
华富中债-0-5年中高等级信用债指数A,007846,1.20亿元（2020-09-30）,0.49%,0.76%,0.94%,--,--,1.12%,郜哲/张娅,263天,1.12%,2年又322天/11年又197天
交银中债1-3年农发债指数C,006746,0.00亿元（2019-06-30）,0.00%,0.00%,0.00%,0.00%,--,0.00%,季参平/魏玉敏,1年又154天,0.00%,1年又169天/2年又135天
长城中债3-5年国开债指数A,009324,76.00亿元（2020-11-19）,0.36%,--,--,--,--,0.44%,张棪,52天,0.44%,3年又127天
广发中债3-5年政金债指数C,008365,0.00亿元（2020-09-30）,0.72%,1.44%,2.21%,--,--,2.23%,李伟,200天,2.23%,2年又128天
长城中债3-5年国开债指数C,009325,2.00亿元（2020-11-19）,0.37%,--,--,--,--,0.44%,张棪,52天,0.44%,3年又127天
广发中债3-5年政金债指数A,008364,21.17亿元（2020-09-30）,0.72%,1.46%,2.23%,--,--,2.26%,李伟,200天,2.26%,2年又128天
建信中债国开行债A,007094,7.53亿元（2020-09-30）,0.95%,1.75%,1.83%,4.06%,--,7.78%,闫晗,1年又256天,7.78%,3年又69天
民生加银中债1-5年政金债指数,009262,19.84亿元（2020-09-30）,0.84%,1.74%,1.79%,--,--,0.75%,陆欣,246天,0.75%,10年又107天
鹏华中债1-3隐含评级AAA指数A,009745,1.95亿元（2020-09-23）,5.11%,5.20%,--,--,--,5.25%,李振宇,109天,5.25%,4年又14天
博时中债3-5进出口行A,006727,16.26亿元（2020-09-30）,0.89%,1.93%,1.80%,2.50%,--,6.62%,张鹿/过钧,2年又17天,6.62%,2年又179天/16年又148天
中银中债3-5年期农发行债券,006224,29.50亿元（2020-12-31）,0.90%,1.67%,1.82%,2.49%,--,9.27%,郑涛,2年又114天,9.27%,4年又218天
大成中债3-5年国开债A,007507,55.88亿元（2020-09-30）,0.97%,1.78%,1.74%,3.54%,--,5.42%,方孝成,1年又198天,5.42%,3年又64天
广发中债农发债总指数A,007252,44.48亿元（2020-09-30）,0.68%,1.45%,1.58%,1.99%,--,2.52%,李伟/王予柯,1年又52天,2.52%,2年又128天/5年又230天
易方达中债3-5年政金融债指数C,007367,0.02亿元（2020-09-30）,1.05%,1.93%,2.08%,3.25%,--,3.65%,杨真,23天,0.71%,43天
大成中债3-5年国开债C,007508,0.55亿元（2020-09-30）,0.89%,1.68%,1.62%,3.34%,--,5.15%,方孝成,1年又198天,5.15%,3年又64天
招商中债1-5年进出口行C,006474,0.05亿元（2020-09-30）,0.77%,1.48%,1.60%,2.71%,--,6.37%,向霈/周欣宇,2年又7天,6.01%,7年又16天/3年又64天
建信中债国开行债C,007095,0.15亿元（2020-09-30）,0.94%,1.72%,1.79%,3.94%,--,7.61%,闫晗,1年又256天,7.61%,3年又69天
华富恒定久期国开债A,006451,9.38亿元（2020-09-30）,0.81%,1.83%,1.59%,2.75%,--,7.22%,郜哲/张娅,1年又348天,7.22%,2年又322天/11年又197天
富国中债1-5年国开行债券指数C,008351,0.00亿元（2020-09-30）,0.84%,1.41%,1.50%,--,--,-0.13%,张洋/沈博文,215天,0.83%,228天/2年又184天
浙商中债1-5年政策性金融债A,009175,1.91亿元（2020-10-28）,0.68%,--,--,--,--,0.91%,刘爱民,74天,0.91%,2年又361天
富国中债1-5年国开行债券指数A,008350,16.68亿元（2020-09-30）,0.85%,1.44%,1.55%,--,--,-0.05%,张洋/沈博文,215天,0.90%,228天/2年又184天
长城中债1-3年政金债A,008652,8.70亿元（2020-08-11）,0.37%,0.64%,--,--,--,0.94%,张棪,152天,0.94%,3年又127天
景顺长城中债3-5年政策性金融债指数C,008006,0.27亿元（2020-09-29）,0.70%,6.00%,--,--,--,6.00%,成念良,103天,6.00%,5年又32天
华泰紫金中债1-5年国开债指数C,008965,0.00亿元（2020-09-30）,0.81%,1.47%,1.04%,--,--,0.89%,杨义山/陈晨/阮毅,136天,1.69%,1年又66天/1年又311天/2年又72天
长城中债1-3年政金债C,008653,0.00亿元（2020-08-11）,0.35%,0.60%,--,--,--,0.88%,张棪,152天,0.88%,3年又127天
博时中债3-5年国开行A,007485,3.02亿元（2020-09-30）,0.98%,1.91%,1.57%,2.36%,--,4.35%,万志文,76天,1.53%,76天
浙商中债1-5年政策性金融债C,009176,0.75亿元（2020-10-28）,0.67%,--,--,--,--,0.89%,刘爱民,74天,0.89%,2年又361天
广发中债农发债总指数C,007253,0.01亿元（2020-09-30）,0.68%,1.36%,1.45%,1.78%,--,2.30%,李伟/王予柯,1年又52天,2.30%,2年又128天/5年又230天
鑫元中债3-5年国开债指数C,007093,0.02亿元（2020-09-30）,0.82%,1.63%,1.51%,1.81%,--,2.26%,王海燕,1年又57天,2.26%,2年又84天
鑫元中债3-5年国开债指数A,007092,1.51亿元（2020-09-30）,0.83%,1.65%,1.56%,1.91%,--,2.40%,王海燕,1年又57天,2.40%,2年又84天
工银3-5年国开债指数A,007078,28.09亿元（2020-09-30）,0.90%,1.88%,1.86%,3.11%,--,6.75%,陈涵/魏欣,1年又205天,5.81%,1年又205天/9年又268天
博时中债3-5进出口行C,006728,0.02亿元（2020-09-30）,0.87%,1.90%,1.75%,2.41%,--,6.41%,张鹿/过钧,2年又17天,6.41%,2年又179天/16年又148天
博时中债3-5政金融债指数C,007963,0.02亿元（2020-09-30）,0.89%,1.81%,1.71%,2.37%,--,2.57%,张鹿,1年又23天,2.57%,2年又179天
华夏中债3-5年政金债指数C,007187,0.01亿元（2020-09-30）,0.98%,1.69%,1.75%,2.54%,--,3.86%,刘明宇,1年又183天,3.86%,3年又31天
景顺长城中债3-5年政策性金融债指数A,008005,2.25亿元（2020-09-29）,0.78%,1.33%,--,--,--,1.33%,成念良,103天,1.33%,5年又32天
工银3-5年国开债指数C,007079,0.02亿元（2020-09-30）,0.88%,1.84%,1.81%,3.00%,--,6.56%,陈涵/魏欣,1年又205天,5.65%,1年又205天/9年又268天
易方达中债3-5年国开行债A,007171,31.61亿元（2020-09-30）,0.97%,1.88%,1.95%,3.49%,--,5.70%,杨真,23天,0.67%,43天
